method,n,iteration,absolute_residual,relative_residual
"Screened-symmetric(length=2)",16,9,0.00011812767204111196,9.058005282940992E-06
"Screened-symmetric(length=2)",16,10,3.105349814968269E-05,2.3811757688387303E-06
"Screened-symmetric(length=2)",16,11,1.0224053471001656E-05,7.839782902110634E-07
"Screened-symmetric(length=2)",16,12,3.3470787540127723E-06,2.566533015711655E-07
"Screened-symmetric(length=2)",16,13,8.126680735286898E-07,6.231521857756115E-08
"Screened-symmetric(length=2)",16,14,3.0631453525593183E-07,2.3488134749867943E-08
"Screened-symmetric(length=2)",16,15,8.508243310867941E-08,6.5241032458141824E-09
"Truncated-Green(rank=8)",16,0,13.041245655219772,1
"Truncated-Green(rank=8)",16,1,3.117982214823912,0.23908622667313506
"Truncated-Green(rank=8)",16,2,2.3635911691500704,0.18123967845081124
"Truncated-Green(rank=8)",16,3,1.313590239677446,0.10072582592228681
"Truncated-Green(rank=8)",16,4,0.6716747958877922,0.05150388342074928
"Truncated-Green(rank=8)",16,5,0.3052643689604647,0.02340760821710941
"Truncated-Green(rank=8)",16,6,0.1172884125713918,0.008993651041643173
"Truncated-Green(rank=8)",16,7,0.05629835035097435,0.004316945776452028
"Truncated-Green(rank=8)",16,8,0.01803780414988188,0.001383135064453159
"Truncated-Green(rank=8)",16,9,0.009319972117537692,0.0007146535203719105
"Truncated-Green(rank=8)",16,10,0.009729050843053172,0.0007460215918223355
"Truncated-Green(rank=8)",16,11,0.007646775397884189,0.0005863531444807621
"Truncated-Green(rank=8)",16,12,0.002487929203979281,0.000190773893058558
"Truncated-Green(rank=8)",16,13,0.0012321774285830069,9.44831085280436E-05
"Truncated-Green(rank=8)",16,14,0.0009373587518247767,7.187647381288289E-05
"Truncated-Green(rank=8)",16,15,0.0005679253210535082,4.3548395304262635E-05
"Truncated-Green(rank=8)",16,16,0.0002219845829241779,1.7021731573266418E-05
"Truncated-Green(rank=8)",16,17,0.00012877369048659086,9.874339759488317E-06
"Truncated-Green(rank=8)",16,18,7.338043244360921E-05,5.626796272658096E-06
"Truncated-Green(rank=8)",16,19,3.155549050880554E-05,2.4196684383577596E-06
"Truncated-Green(rank=8)",16,20,1.284679573648135E-05,9.850896207402862E-07
"Truncated-Green(rank=8)",16,21,6.3832825899884085E-06,4.894687791908508E-07
"Truncated-Green(rank=8)",16,22,2.476019792362566E-06,1.898606818568391E-07
"Truncated-Green(rank=8)",16,23,8.694866731955987E-07,6.667205696317712E-08
